"year","mean","location","age","per1000"
1992,0.0539905729005293,"Nepal","Neonatal",53.9905729005293
1993,0.0522591490647311,"Nepal","Neonatal",52.2591490647311
1994,0.0504060405707409,"Nepal","Neonatal",50.4060405707409
1995,0.0487087695037604,"Nepal","Neonatal",48.7087695037604
1996,0.0469515622731312,"Nepal","Neonatal",46.9515622731312
1997,0.0452138933173034,"Nepal","Neonatal",45.2138933173034
1998,0.0435920443646972,"Nepal","Neonatal",43.5920443646972
1999,0.0419872324142979,"Nepal","Neonatal",41.9872324142979
2000,0.0404014463454788,"Nepal","Neonatal",40.4014463454788
2001,0.038831560950767,"Nepal","Neonatal",38.831560950767
2002,0.0374649950662046,"Nepal","Neonatal",37.4649950662046
2003,0.0360464824063812,"Nepal","Neonatal",36.0464824063812
2004,0.034698343623736,"Nepal","Neonatal",34.698343623736
2005,0.0333467975931697,"Nepal","Neonatal",33.3467975931697
2006,0.032029772745786,"Nepal","Neonatal",32.029772745786
2007,0.0307027211044711,"Nepal","Neonatal",30.7027211044711
2008,0.0293077086368394,"Nepal","Neonatal",29.3077086368394
2009,0.02787440625605,"Nepal","Neonatal",27.87440625605
2010,0.0264208401262995,"Nepal","Neonatal",26.4208401262995
2011,0.024975263290735,"Nepal","Neonatal",24.975263290735
2012,0.0235327961376117,"Nepal","Neonatal",23.5327961376117
2013,0.0221902147762759,"Nepal","Neonatal",22.1902147762759
2014,0.020937998544672,"Nepal","Neonatal",20.937998544672
2015,0.0197722451493344,"Nepal","Neonatal",19.7722451493344
2016,0.0184584507973595,"Nepal","Neonatal",18.4584507973595
1970,0.235764955443404,"Ethiopia","Under 5",235.764955443404
1971,0.234564863374073,"Ethiopia","Under 5",234.564863374073
1972,0.23238205259472,"Ethiopia","Under 5",232.38205259472
1973,0.239335168448718,"Ethiopia","Under 5",239.335168448718
1974,0.237528911574361,"Ethiopia","Under 5",237.528911574361
1975,0.235362798614079,"Ethiopia","Under 5",235.362798614079
1976,0.234319733665206,"Ethiopia","Under 5",234.319733665206
1977,0.233398132677179,"Ethiopia","Under 5",233.398132677179
1978,0.23279359397403,"Ethiopia","Under 5",232.79359397403
1979,0.222652841720618,"Ethiopia","Under 5",222.652841720618
1980,0.220044052537712,"Ethiopia","Under 5",220.044052537712
1981,0.21768214248499,"Ethiopia","Under 5",217.68214248499
1982,0.214570869291142,"Ethiopia","Under 5",214.570869291142
1983,0.277505202512778,"Ethiopia","Under 5",277.505202512778
1984,0.271631287439466,"Ethiopia","Under 5",271.631287439466
1985,0.203011243082796,"Ethiopia","Under 5",203.011243082796
1986,0.19960735712563,"Ethiopia","Under 5",199.60735712563
1987,0.196123213066332,"Ethiopia","Under 5",196.123213066332
1988,0.192631216774477,"Ethiopia","Under 5",192.631216774477
1989,0.190939060845628,"Ethiopia","Under 5",190.939060845628
1990,0.188378605452742,"Ethiopia","Under 5",188.378605452742
1991,0.181665220441855,"Ethiopia","Under 5",181.665220441855
1992,0.178025543200607,"Ethiopia","Under 5",178.025543200607
1993,0.174128201384877,"Ethiopia","Under 5",174.128201384877
1994,0.16994956191586,"Ethiopia","Under 5",169.94956191586
1995,0.16496465074355,"Ethiopia","Under 5",164.96465074355
1996,0.159113125755903,"Ethiopia","Under 5",159.113125755903
1997,0.153123962949103,"Ethiopia","Under 5",153.123962949103
1998,0.148113027650212,"Ethiopia","Under 5",148.113027650212
1999,0.144749955948246,"Ethiopia","Under 5",144.749955948246
2000,0.140092735346448,"Ethiopia","Under 5",140.092735346448
2001,0.130421497116389,"Ethiopia","Under 5",130.421497116389
2002,0.124221601681706,"Ethiopia","Under 5",124.221601681706
2003,0.118634785690003,"Ethiopia","Under 5",118.634785690003
2004,0.112303176743107,"Ethiopia","Under 5",112.303176743107
2005,0.106143272106164,"Ethiopia","Under 5",106.143272106164
2006,0.0999202721680875,"Ethiopia","Under 5",99.9202721680875
2007,0.0931763329557589,"Ethiopia","Under 5",93.1763329557589
2008,0.0864860826216435,"Ethiopia","Under 5",86.4860826216435
2009,0.0800458670713831,"Ethiopia","Under 5",80.0458670713831
2010,0.0743318902398011,"Ethiopia","Under 5",74.3318902398011
2011,0.0678002003824966,"Ethiopia","Under 5",67.8002003824966
2012,0.0617519931128847,"Ethiopia","Under 5",61.7519931128847
2013,0.0558068509833778,"Ethiopia","Under 5",55.8068509833778
2014,0.0495384460941313,"Ethiopia","Under 5",49.5384460941313
2015,0.0466165056174734,"Ethiopia","Under 5",46.6165056174734
2016,0.0433710195430549,"Ethiopia","Under 5",43.3710195430549
1970,0.0628552456057908,"Ethiopia","Neonatal",62.8552456057908
1971,0.0626286889915663,"Ethiopia","Neonatal",62.6286889915663
1972,0.0621759249790004,"Ethiopia","Neonatal",62.1759249790004
1973,0.0617063085624174,"Ethiopia","Neonatal",61.7063085624174
1974,0.0613329708779449,"Ethiopia","Neonatal",61.3329708779449
1975,0.0608759465782843,"Ethiopia","Neonatal",60.8759465782843
1976,0.0605941529089425,"Ethiopia","Neonatal",60.5941529089425
1977,0.0604651274494731,"Ethiopia","Neonatal",60.4651274494731
